Sequence number	Annotation information	Subcellular location	Probability
450	>ENST00000269701.7_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

451	>ENST00000262805.16_1	Ribosome	0.745848
452	>ENST00000222584.8_1	Cytosol/Cytoplasm	0.968666
453	>ENST00000222644.9_1	Cytosol/Cytoplasm	0.820687
454	>ENST00000403050.7_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

455	>ENST00000360332.7_1	Cytosol/Cytoplasm	0.999662
456	>ENST00000224652.10_1	Ribosome	0.999809
457	>ENST00000320481.10_1	Cytosol/Cytoplasm	0.826644
458	>ENST00000376087.4_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.58415

459	>ENST00000240304.5_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.999999

460	>ENST00000334635.10_1	Ribosome	0.999315
461	>ENST00000358635.7_1	Cytosol/Cytoplasm	0.977852
462	>ENST00000263981.9_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

463	>ENST00000263773.9_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

464	>ENST00000320585.11_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

465	>ENST00000349215.7_1	Endoplasmic reticulum	0.470373
466	>ENST00000298892.9_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.388393

467	>ENST00000331738.12_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

468	>ENST00000238146.9_1	Ribosome	0.495679
469	>ENST00000360290.7_1	Endoplasmic reticulum	0.958042
470	>ENST00000337659.11_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

471	>ENST00000284037.9_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

472	>ENST00000261483.4_1	Cytosol/Cytoplasm	0.606871
473	>ENST00000325110.11_1	Ribosome	0.685927
474	>ENST00000354402.9_1	Cytosol/Cytoplasm	0.998483
475	>ENST00000265081.7_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.385136

476	>ENST00000263409.8_1	Endoplasmic reticulum	0.345534
477	>ENST00000231572.8_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.919141

478	>ENST00000344722.5_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.923208

479	>ENST00000232165.7_1	Cytosol/Cytoplasm	0.950271
480	>ENST00000264982.8_1	Cytosol/Cytoplasm	0.995945
481	>ENST00000324194.10_1	Ribosome	0.829948
482	>ENST00000326793.11_1	Cytosol/Cytoplasm	0.566017
483	>ENST00000251775.9_1	Cytosol/Cytoplasm	0.977199
484	>ENST00000393409.2_1	Ribosome	0.999771
485	>ENST00000356448.8_1	Endoplasmic reticulum	0.337793
486	>ENST00000232978.13_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

487	>ENST00000318779.7_1	Cytosol/Cytoplasm	0.999733
488	>ENST00000264380.9_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

489	>ENST00000312912.10_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.494481

490	>ENST00000263895.8_1	Cytosol/Cytoplasm	0.62874
491	>ENST00000282574.8_1	Cytosol/Cytoplasm	0.495268
492	>ENST00000349953.7_1	Cytosol/Cytoplasm	0.999735
493	>ENST00000368346.7_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

494	>ENST00000263441.11_1	Cytosol/Cytoplasm	0.999386
495	>ENST00000367497.1_1	Ribosome	0.997677
496	>ENST00000369466.9_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.98795

497	>ENST00000262741.10_1	Cytosol/Cytoplasm	0.518467
498	>ENST00000315713.5_1	Ribosome	0.999965
499	>ENST00000370197.5_1	Cytosol/Cytoplasm	0.999447
500	>ENST00000243189.12_1	Cytosol/Cytoplasm	0.999798
501	>ENST00000366955.8_1	Cytosol/Cytoplasm	0.883923
502	>ENST00000251527.10_1	Cytosol/Cytoplasm	0.981933
503	>ENST00000262346.6_1	Cytosol/Cytoplasm	0.999632
504	>ENST00000262043.7_1	Cytosol/Cytoplasm	0.551555
505	>ENST00000237596.7_1	Endoplasmic reticulum	0.999932
506	>ENST00000237837.1_1	Endoplasmic reticulum	0.970163
507	>ENST00000353777.7_1	Ribosome	0.708633
508	>ENST00000355774.6_1	Cytosol/Cytoplasm	0.853991
509	>ENST00000356924.9_1	Endoplasmic reticulum	0.999877
510	>ENST00000378954.9_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.706838

511	>ENST00000348367.9_1	Endoplasmic reticulum	0.999839
512	>ENST00000345664.10_1	Ribosome	0.577662
513	>ENST00000333991.5_1	Cytosol/Cytoplasm	0.834791
514	>ENST00000240139.9_1	Cytosol/Cytoplasm	0.999683
515	>ENST00000254235.7_1	Endoplasmic reticulum	0.999908
516	>ENST00000303538.13_1	Cytosol/Cytoplasm	0.850477
517	>ENST00000242067.10_1	Ribosome	0.43828
518	>ENST00000337620.8_1	Endoplasmic reticulum	0.710519
519	>ENST00000261741.10_1	Cytosol/Cytoplasm	0.728123
520	>ENST00000242591.10_1	Cytosol/Cytoplasm	0.997724
521	>ENST00000242737.5_1	Cytosol/Cytoplasm	0.687163
522	>ENST00000381259.5_1	Endoplasmic reticulum	0.99896
523	>ENST00000242839.8_1	Endoplasmic reticulum	0.999878
524	>ENST00000243050.5_1	Endoplasmic reticulum	0.99964
525	>ENST00000294905.4_1	Ribosome	0.908691
526	>ENST00000243997.8_1	Endoplasmic reticulum	0.334447
527	>ENST00000376887.9_1	Endoplasmic reticulum	0.993217
528	>ENST00000263433.8_1	Cytosol/Cytoplasm	0.999531
529	>ENST00000353609.8_1	Cytosol/Cytoplasm	0.999538
530	>ENST00000379019.5_1	Cytosol/Cytoplasm	0.999423
531	>ENST00000317568.10_1	Ribosome	0.939478
532	>ENST00000247026.10_1	Cytosol/Cytoplasm	0.999967
533	>ENST00000247194.9_1	Endoplasmic reticulum	0.586196
534	>ENST00000247655.4_1	Endoplasmic reticulum	0.776525
535	>ENST00000247815.8_1	Ribosome	0.671301
536	>ENST00000248846.10_1	Cytosol/Cytoplasm	0.812786
537	>ENST00000351989.8_1	Ribosome	0.933885
538	>ENST00000222482.10_1	Endoplasmic reticulum	0.999779
539	>ENST00000352689.11_1	Ribosome	0.908107
540	>ENST00000304164.8_1	Cytosol/Cytoplasm	0.422371
541	>ENST00000249837.7_1	Cytosol/Cytoplasm	0.637695
542	>ENST00000220847.8_1	Cytosol/Cytoplasm	0.951089
543	>ENST00000262102.10_1	Cytosol/Cytoplasm	0.99973
544	>ENST00000382464.6_1	Ribosome	0.963188
545	>ENST00000312405.10_1	Cytosol/Cytoplasm	0.998771
546	>ENST00000302528.11_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.489356

547	>ENST00000253115.7_1	Cytosol/Cytoplasm	0.658267
548	>ENST00000253247.9_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

549	>ENST00000253363.10_1	Cytosol/Cytoplasm	0.430917
550	>ENST00000336431.10_1	Endoplasmic reticulum	0.999917
551	>ENST00000253692.11_1	Cytosol/Cytoplasm	0.832911
552	>ENST00000423485.6_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.688916

553	>ENST00000254630.12_1	Cytosol/Cytoplasm	0.415471
554	>ENST00000369239.10_1	Cytosol/Cytoplasm	0.787518
555	>ENST00000355155.5_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.335285

556	>ENST00000368319.3_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.995353

557	>ENST00000373257.7_1	Endoplasmic reticulum	0.467365
558	>ENST00000255495.7_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.963774

559	>ENST00000265140.10_1	Cytosol/Cytoplasm	0.999707
560	>ENST00000256031.8_1	Cytosol/Cytoplasm	0.63135
561	>ENST00000378743.7_1	Cytosol/Cytoplasm	0.592027
562	>ENST00000370021.1_1	Cytosol/Cytoplasm	0.698446
563	>ENST00000256720.6_1	Cytosol/Cytoplasm	0.808786
564	>ENST00000336909.9_1	Cytosol/Cytoplasm	0.563436
565	>ENST00000257336.6_1	Cytosol/Cytoplasm	0.897418
566	>ENST00000257430.9_1	Cytosol/Cytoplasm	0.814058
567	>ENST00000370300.8_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

568	>ENST00000323180.10_1	Cytosol/Cytoplasm	0.999892
569	>ENST00000290418.4_1	Ribosome	0.941741
570	>ENST00000258148.11_1	Cytosol/Cytoplasm	0.958477
571	>ENST00000258198.7_1	Ribosome	0.809271
572	>ENST00000258428.8_1	Cytosol/Cytoplasm	0.896264
573	>ENST00000420699.8_1	Cytosol/Cytoplasm	0.999779
574	>ENST00000258729.8_1	Cytosol/Cytoplasm	0.733883
575	>ENST00000323776.10_1	Cytosol/Cytoplasm	0.604507
576	>ENST00000259008.6_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

577	>ENST00000366959.4_1	Cytosol/Cytoplasm	0.764467
578	>ENST00000456763.6_1	Endoplasmic reticulum	0.999913
579	>ENST00000260359.10_1	Cytosol/Cytoplasm	0.947247
580	>ENST00000319942.8_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.770512

581	>ENST00000260585.12_1	Ribosome	0.85673
582	>ENST00000260753.8_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.869914

583	>ENST00000260970.8_1	Cytosol/Cytoplasm	0.994943
584	>ENST00000307179.9_1	Ribosome	0.625133
585	>ENST00000335016.9_1	Cytosol/Cytoplasm	0.999079
586	>ENST00000250894.8_1	Cytosol/Cytoplasm	0.94048
587	>ENST00000266712.11_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

588	>ENST00000267085.8_1	Cytosol/Cytoplasm	0.897474
589	>ENST00000267811.9_1	Cytosol/Cytoplasm	0.977177
590	>ENST00000396972.2_1	Cytosol/Cytoplasm	0.50851
591	>ENST00000267978.10_1	Cytosol/Cytoplasm	0.999354
592	>ENST00000300027.12_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.458285

593	>ENST00000357742.9_1	Cytosol/Cytoplasm	0.754481
594	>ENST00000343939.6_1	Ribosome	0.668718
595	>ENST00000315082.9_1	Endoplasmic reticulum	0.332276
596	>ENST00000268661.8_1	Endoplasmic reticulum	0.66089
597	>ENST00000268763.10_1	Cytosol/Cytoplasm	0.52396
598	>ENST00000268989.8_1	Cytosol/Cytoplasm	0.999643
599	>ENST00000269391.11_1	Ribosome	0.4213
600	>ENST00000337907.7_1	Cytosol/Cytoplasm	0.999241
601	>ENST00000370298.9_1	Cytosol/Cytoplasm	0.725721
602	>ENST00000308769.12_1	Endoplasmic reticulum	0.370816
603	>ENST00000343537.12_1	Cytosol/Cytoplasm	0.85442
604	>ENST00000366856.3_1	Ribosome	0.991429
605	>ENST00000272321.12_1	Cytosol/Cytoplasm	0.999879
606	>ENST00000272322.9_1	Cytosol/Cytoplasm	0.884974
607	>ENST00000272427.10_1	Cytosol/Cytoplasm	0.857106
608	>ENST00000272793.9_1	Cytosol/Cytoplasm	0.999455
609	>ENST00000341329.7_1	Endoplasmic reticulum	0.999901
610	>ENST00000273062.6_1	Cytosol/Cytoplasm	0.999762
611	>ENST00000356847.8_1	Cytosol/Cytoplasm	0.980138
612	>ENST00000326151.9_1	Endoplasmic reticulum	0.9791
613	>ENST00000274289.8_1	Cytosol/Cytoplasm	0.99935
614	>ENST00000358731.9_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

615	>ENST00000296701.10_1	Cytosol/Cytoplasm	0.946603
616	>ENST00000274599.9_1	Cytosol/Cytoplasm	0.991682
617	>ENST00000359704.2_1	Cytosol/Cytoplasm	0.996142
618	>ENST00000275358.8_1	Endoplasmic reticulum	0.591396
619	>ENST00000275820.4_1	Ribosome	0.867985
620	>ENST00000373701.7_1	Cytosol/Cytoplasm	0.683038
621	>ENST00000276893.10_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

622	>ENST00000374279.4_1	Ribosome	0.824733
623	>ENST00000277817.10_1	Ribosome	0.519944
624	>ENST00000278174.9_1	Cytosol/Cytoplasm	0.582587
625	>ENST00000280082.4_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.718855

626	>ENST00000280187.11_1	Ribosome	0.496767
627	>ENST00000280606.6_1	Endoplasmic reticulum	0.977273
628	>ENST00000323418.10_1	Ribosome	0.99996
629	>ENST00000281092.9_1	Cytosol/Cytoplasm	0.689558
630	>ENST00000392977.8_1	Cytosol/Cytoplasm	0.560708
631	>ENST00000415217.7_1	Endoplasmic reticulum	0.999943
632	>ENST00000281513.10_1	Cytosol/Cytoplasm	0.720049
633	>ENST00000282077.7_1	Ribosome	0.535403
634	>ENST00000282260.10_1	Endoplasmic reticulum	0.949257
635	>ENST00000282903.10_1	Cytosol/Cytoplasm	0.916852
636	>ENST00000283297.5_1	Endoplasmic reticulum	0.678162
637	>ENST00000357668.2_1	Ribosome	0.604059
638	>ENST00000284116.9_1	Cytosol/Cytoplasm	0.541777
639	>ENST00000284637.14_1	Ribosome	0.999733
640	>ENST00000284984.8_1	Ribosome	0.997764
641	>ENST00000389737.5_1	Cytosol/Cytoplasm	0.903389
642	>ENST00000285679.10_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.806604

643	>ENST00000285848.9_1	Endoplasmic reticulum	0.61158
644	>ENST00000336942.9_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

645	>ENST00000286070.10_1	Ribosome	0.948425
646	>ENST00000286800.8_1	Cytosol/Cytoplasm	0.925099
647	>ENST00000287380.6_1	Cytosol/Cytoplasm	0.999788
648	>ENST00000323963.10_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

649	>ENST00000287675.10_1	Cytosol/Cytoplasm	0.985568
650	>ENST00000330588.4_1	Endoplasmic reticulum	0.986738
651	>ENST00000338785.8_1	Cytosol/Cytoplasm	0.927467
652	>ENST00000473989.8_1	Cytosol/Cytoplasm	0.498808
653	>ENST00000401533.7_1	Cytosol/Cytoplasm	0.625879
654	>ENST00000327532.7_1	Cytosol/Cytoplasm	0.387534
655	>ENST00000377939.5_1	Cytosol/Cytoplasm	0.763961
656	>ENST00000289816.9_1	Cytosol/Cytoplasm	0.727901
657	>ENST00000289921.8_1	Cytosol/Cytoplasm	0.974362
658	>ENST00000290178.4_1	Cytosol/Cytoplasm	0.719131
659	>ENST00000290470.3_1	Ribosome	0.94961
660	>ENST00000290607.12_1	Cytosol/Cytoplasm	0.99942
661	>ENST00000290650.9_1	Cytosol/Cytoplasm	0.649946
662	>ENST00000308647.7_1	Ribosome	0.999865
663	>ENST00000293618.12_1	Cytosol/Cytoplasm	0.933329
664	>ENST00000369784.8_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

665	>ENST00000295770.3_1	Endoplasmic reticulum	0.709014
666	>ENST00000295830.13_1	Cytosol/Cytoplasm	0.337596
667	>ENST00000295839.9_1	Endoplasmic reticulum	0.988319
668	>ENST00000295888.8_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

669	>ENST00000295924.12_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

670	>ENST00000295925.5_1	Ribosome	0.964866
671	>ENST00000296015.9_1	Endoplasmic reticulum	0.999654
672	>ENST00000394799.6_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.74181

673	>ENST00000296525.7_1	Cytosol/Cytoplasm	0.971879
674	>ENST00000296564.9_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

675	>ENST00000296595.10_1	Ribosome	0.513522
676	>ENST00000312916.12_1	Endoplasmic reticulum	0.568421
677	>ENST00000296782.9_1	Cytosol/Cytoplasm	0.611713
678	>ENST00000296792.9_1	Ribosome	0.680507
679	>ENST00000310581.9_1	Ribosome	0.725257
680	>ENST00000321680.10_1	Cytosol/Cytoplasm	0.647927
681	>ENST00000297146.7_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.412115

682	>ENST00000342651.9_1	Ribosome	0.638359
683	>ENST00000297447.10_1	Ribosome	0.969482
684	>ENST00000380799.1_1	Endoplasmic reticulum	0.854707
685	>ENST00000373275.4_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

686	>ENST00000311380.8_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

687	>ENST00000298198.5_1	Ribosome	0.544897
688	>ENST00000298281.8_1	Cytosol/Cytoplasm	0.667283
689	>ENST00000298282.14_1	Cytosol/Cytoplasm	0.983331
690	>ENST00000325486.9_1	Cytosol/Cytoplasm	0.819395
691	>ENST00000448775.4_1	Cytosol/Cytoplasm	0.642421
692	>ENST00000336139.8_1	Ribosome	0.557432
693	>ENST00000339859.8_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

694	>ENST00000299606.6_1	Cytosol/Cytoplasm	0.98451
695	>ENST00000345068.9_1	Ribosome	0.94932
696	>ENST00000326764.9_1	Cytosol/Cytoplasm	0.885378
697	>ENST00000443387.2_1	Cytosol/Cytoplasm	0.966105
698	>ENST00000301475.1_1	Cytosol/Cytoplasm	0.999932
699	>ENST00000307602.9_1	Ribosome	0.510027
700	>ENST00000304621.10_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.932584

701	>ENST00000334690.11_1	Cytosol/Cytoplasm	0.999529
702	>ENST00000334933.8_1	Cytosol/Cytoplasm	0.998297
703	>ENST00000342159.6_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.545407

704	>ENST00000303097.11_1	Cytosol/Cytoplasm	0.999005
705	>ENST00000340930.7_1	Cytosol/Cytoplasm	0.93172
706	>ENST00000303459.10_1	Cytosol/Cytoplasm	0.989367
707	>ENST00000375120.4_1	Ribosome	0.381663
708	>ENST00000367569.3_1	Endoplasmic reticulum	0.71132
709	>ENST00000306107.9_1	Cytosol/Cytoplasm	0.917014
710	>ENST00000380262.7_1	Cytosol/Cytoplasm	0.979527
711	>ENST00000302418.5_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.549342

712	>ENST00000340553.8_1	Cytosol/Cytoplasm	0.745659
713	>ENST00000306078.2_1	Ribosome	0.483014
714	>ENST00000306156.8_1	Cytosol/Cytoplasm	0.417176
715	>ENST00000302584.5_1	Cytosol/Cytoplasm	0.951833
716	>ENST00000389063.3_1	Cytosol/Cytoplasm	0.834451
717	>ENST00000319023.6_1	Ribosome	0.99981
718	>ENST00000308418.8_1	Ribosome	0.999754
719	>ENST00000308440.10_1	Cytosol/Cytoplasm	0.998997
720	>ENST00000448220.5_1	Cytosol/Cytoplasm	0.924143
721	>ENST00000394196.9_1	Cytosol/Cytoplasm	0.671372
722	>ENST00000307138.10_1	Cytosol/Cytoplasm	0.517652
723	>ENST00000431932.6_1	Cytosol/Cytoplasm	0.999285
724	>ENST00000295246.6_1	Cytosol/Cytoplasm	0.99976
725	>ENST00000350721.9_1	Cytosol/Cytoplasm	0.412306
726	>ENST00000392993.7_1	Ribosome	0.925911
727	>ENST00000414154.6_1	Cytosol/Cytoplasm	0.820084
728	>ENST00000320574.9_1	Cytosol/Cytoplasm	0.514187
729	>ENST00000379565.8_1	Ribosome	0.618118
730	>ENST00000328827.9_1	Ribosome	0.999687
731	>ENST00000268720.9_1	Endoplasmic reticulum	0.83241
732	>ENST00000331493.7_1	Cytosol/Cytoplasm	0.970353
733	>ENST00000316425.9_1	Endoplasmic reticulum	0.888937
734	>ENST00000326595.11_1	Cytosol/Cytoplasm	0.992039
735	>ENST00000321264.9_1	Ribosome	0.999578
736	>ENST00000572844.1_1	Ribosome	0.554762
737	>ENST00000313608.13_1	Ribosome	0.98876
738	>ENST00000315691.7_1	Ribosome	0.999944
739	>ENST00000354749.6_1	Cytosol/Cytoplasm	0.998878
740	>ENST00000343003.10_1	Cytosol/Cytoplasm	0.998024
741	>ENST00000319637.6_1	Ribosome	0.981555
742	>ENST00000331491.1_1	Ribosome	0.838173
743	>ENST00000330212.7_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

744	>ENST00000332509.7_1	Endoplasmic reticulum	0.838654
745	>ENST00000287912.7_1	Ribosome	0.89771
746	>ENST00000423855.7_1	Cytosol/Cytoplasm	0.999119
747	>ENST00000334116.7_1	Cytosol/Cytoplasm	0.846497
748	>ENST00000340612.5_1	Cytosol/Cytoplasm	0.999325
749	>ENST00000426126.6_1	Cytosol/Cytoplasm	0.807973
750	>ENST00000334696.10_1	Cytosol/Cytoplasm	0.999282
751	>ENST00000261862.7_1	Ribosome	0.7585
752	>ENST00000343936.4_1	Cytosol/Cytoplasm	0.60409
753	>ENST00000357749.7_1	Cytosol/Cytoplasm	0.999592
754	>ENST00000595168.1_1	Cytosol/Cytoplasm	0.999017
755	>ENST00000339907.8_1	Cytosol/Cytoplasm	0.972809
756	>ENST00000290881.11_1	Cytosol/Cytoplasm	0.818472
757	>ENST00000340684.10_1	Cytosol/Cytoplasm	0.655018
758	>ENST00000359193.3_1	Cytosol/Cytoplasm	0.941998
759	>ENST00000358056.8_1	Ribosome	0.999585
760	>ENST00000395216.2_1	Cytosol/Cytoplasm	0.772434
761	>ENST00000356206.10_1	Endoplasmic reticulum	0.663875
762	>ENST00000425232.6_1	Cytosol/Cytoplasm	0.753742
763	>ENST00000395686.8_1	Cytosol/Cytoplasm	0.706559
764	>ENST00000358855.8_1	Cytosol/Cytoplasm	0.999555
765	>ENST00000355356.3_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.735766

766	>ENST00000355202.9_1	Cytosol/Cytoplasm	0.66888
767	>ENST00000356457.9_1	Cytosol/Cytoplasm	0.721055
768	>ENST00000355123.8_1	Cytosol/Cytoplasm	0.830361
769	>ENST00000264718.7_1	Ribosome	0.987359
770	>ENST00000360586.8_1	Ribosome	0.483217
771	>ENST00000358716.8_1	Cytosol/Cytoplasm	0.999672
772	>ENST00000367179.7_1	Cytosol/Cytoplasm	0.443162
773	>ENST00000358746.6_1	Cytosol/Cytoplasm	0.872293
774	>ENST00000366756.4_1	Endoplasmic reticulum	0.99994
775	>ENST00000361673.4_1	Cytosol/Cytoplasm	0.499847
776	>ENST00000361150.6_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.799714

777	>ENST00000361371.10_1	Cytosol/Cytoplasm	0.999367
778	>ENST00000359626.10_1	Endoplasmic reticulum	0.999844
779	>ENST00000361138.7_1	Ribosome	0.634824
780	>ENST00000374423.9_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.589174

781	>ENST00000375703.7_1	Cytosol/Cytoplasm	0.998943
782	>ENST00000356017.8_1	Ribosome	0.535283
783	>ENST00000399451.6_1	Cytosol/Cytoplasm	0.927155
784	>ENST00000235453.8_1	Cytosol/Cytoplasm	0.997901
785	>ENST00000292377.4_1	Ribosome	0.994142
786	>ENST00000282588.6_1	Cytosol/Cytoplasm	0.929054
787	>ENST00000342314.9_1	Cytosol/Cytoplasm	0.996624
788	>ENST00000307954.12_1	Endoplasmic reticulum	0.457978
789	>ENST00000400809.8_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.841209

790	>ENST00000355832.10_1	Cytosol/Cytoplasm	0.536198
791	>ENST00000487941.6_1	Cytosol/Cytoplasm	0.782389
792	>ENST00000448387.6_1	Cytosol/Cytoplasm	0.945305
793	>ENST00000440137.1_1	Ribosome	0.696561
794	>ENST00000344111.4_1	Ribosome	0.981178
795	>ENST00000406925.5_1	Cytosol/Cytoplasm	0.974718
796	>ENST00000267068.5_1	Ribosome	0.644098
797	>ENST00000194097.8_1	Cytosol/Cytoplasm	0.947486
798	>ENST00000314191.6_1	Cytosol/Cytoplasm	0.550775
799	>ENST00000532852.5_1	Endoplasmic reticulum	0.912784
800	>ENST00000318100.9_1	Cytosol/Cytoplasm	0.553736
801	>ENST00000251166.9_1	Cytosol/Cytoplasm	0.99954
802	>ENST00000597510.6_1	Cytosol/Cytoplasm	0.708763
803	>ENST00000611668.4_1	Cytosol/Cytoplasm	0.984506
804	>ENST00000483630.5_1	Cytosol/Cytoplasm	0.564473
805	>ENST00000612624.4_1	Cytosol/Cytoplasm	0.941311
806	>ENST00000614378.1_1	Ribosome	0.976738
807	>ENST00000614097.2_1	Endoplasmic reticulum	0.587848
808	>ENST00000610294.1_1	Endoplasmic reticulum	0.845527
809	>ENST00000369163.3_1	Ribosome	0.909805
